sitetype,lat,lon,zip,plus4
Lodging,47.47875336,-122.20911818,98057,2513
Lodging,47.7103872,-121.36026278,98288,
Lodging,47.70953607,-121.36046743,98288,
Lodging,47.7096539,-121.35902751,98288,4912
Lodging,47.60931535,-122.33311206,98101,2304
Lodging,47.40190116,-122.22881398,98032,1954
Lodging,47.40174359,-122.2287572,98032,1954
Lodging,47.40170841,-122.22660725,98032,1522
Lodging,47.59269118,-122.33364744,98134,1206
Lodging,47.59788683,-122.33102511,98104,3317
Lodging,47.59549413,-122.32537495,98134,1324
Lodging,47.61069364,-122.34653291,98121,3139
Lodging,47.61236587,-122.35140429,98121,1398
Lodging,47.55401739,-122.38666938,98136,1210
Lodging,47.47851312,-122.2835093,98168,3150
Lodging,47.47916654,-122.28352874,98168,3160
Lodging,47.59398222,-122.24340742,98040,2109
Lodging,47.67354376,-122.13019637,98052,4369
Lodging,47.47646223,-122.20706458,98057,2746
Lodging,47.47752502,-122.20756516,98057,2551
Lodging,47.67214369,-122.12180379,98052,7807
Lodging,47.66878814,-122.12092081,98052,7822
Lodging,47.6651142,-122.30482567,98105,5706
Lodging,47.76809032,-122.18591174,98011,
Lodging,47.54774476,-122.32090462,98108,2642
Lodging,47.66408023,-122.31557312,98105,4401
Lodging,47.4544303,-122.26079411,98188,3305
Lodging,47.68861273,-122.34491351,98103,4353
Lodging,47.72896419,-122.34433252,98133,6913
Lodging,47.44793549,-122.29540731,98188,3530
Lodging,47.69096165,-122.34478182,98103,3911
Lodging,47.66078748,-122.34688121,98103,7357
Lodging,47.66016922,-122.34771059,98103,7311
Lodging,47.62567433,-122.34654076,98109,4222
Lodging,47.62608847,-122.34691737,98109,4209
Lodging,47.62562569,-122.35121226,98109,4114
Lodging,47.4593655,-122.28815515,98188,2627
Lodging,47.58766744,-122.23597209,98040,2824
Lodging,47.55375087,-122.33378161,98108,2208
Lodging,47.55471502,-122.32882915,98108,
Lodging,47.55510282,-122.32927541,98108,2215
Lodging,47.74951878,-122.34469509,98133,5309
Lodging,47.59763839,-122.32409695,98104,2945
Lodging,47.59820613,-122.32538418,98104,2943
Lodging,47.60158284,-122.33533189,98104,3401
Lodging,47.60495185,-122.33614434,98104,1008
Lodging,47.70922514,-122.33260358,98133,9007
Lodging,47.61476547,-122.20736242,98004,5499
Lodging,47.70789695,-122.33445414,98133,9004
Lodging,47.62741485,-122.34060573,98109,3524
Lodging,47.62974466,-122.32908143,98109,4433
Lodging,47.76936551,-122.18063747,98011,3147
Lodging,47.32589604,-122.22097464,98002,2822
